1,23,86
2,23,70
3,2,43
4,1,46
5,15,63
6,25,86
7,7,67
8,14,34
9,21,71
10,2,49
11,18,27
12,24,65
13,23,65
14,20,56
15,11,8
16,18,25
17,10,71
18,2,72
19,15,30
20,1,87
21,12,68
22,8,91
23,6,3
24,9,8
25,1,29
26,10,15
27,9,51
28,12,10
29,7,40
30,12,29
31,13,24
32,4,33
33,5,11
34,1,35
35,15,33
36,6,40
37,7,24
38,10,40
39,7,43
40,12,19
41,4,22
42,14,11
43,2,48
44,15,24
45,13,30
46,6,36
47,15,26
48,13,41
49,3,20
50,8,45
51,13,14
52,12,48
53,10,43
54,8,24
55,9,50
56,2,45
57,15,17
58,12,30
59,11,43
60,8,74
61,11,48
62,11,69
63,6,83
64,10,39
65,15,68
66,4,35
67,11,23
68,7,37
69,25,76
70,22,96
71,5,8
72,6,41
73,7,21
74,11,29
75,11,52
76,6,11
77,12,27
78,9,24
79,4,71
80,16,95
81,10,75
82,4,1
83,25,38
84,4,36
85,24,54
86,15,45
87,19,87
88,24,61
89,25,82
90,23,80
91,23,77
92,20,60
93,22,86
94,24,84
95,22,87
96,22,79
97,26,61
98,26,64
99,21,62
100,22,91
101,24,85
102,23,63
103,25,93
104,19,78
105,19,80
106,21,60
107,20,62
108,23,84
109,24,62
110,22,88
111,19,60
112,18,70
113,21,70
114,22,63
115,20,72
116,22,73
117,26,66
118,20,83
119,26,81
120,26,86
121,23,76
122,20,74
123,18,79
124,26,88
125,24,78
126,18,73
127,1,83
128,4,86
129,5,93
130,3,94
131,6,92
132,3,86
133,3,91
134,2,94
135,4,89
136,6,90
137,3,85
138,10,22
139,11,15
140,13,16
141,10,21
142,11,24
143,12,14
144,13,22
145,10,23
146,10,16
147,13,20
