1,86,23,10
2,70,23,3
3,43,2,2
4,46,1,2
5,63,15,5
6,86,25,10
7,67,7,6
8,34,14,11
9,71,21,3
10,49,2,2
11,27,18,11
12,65,24,5
13,65,23,5
14,56,20,5
15,8,11,8
16,25,18,11
17,71,10,6
18,72,2,6
19,30,15,11
20,87,1,7
21,68,12,6
22,91,8,7
23,3,6,8
24,8,9,8
25,29,1,9
26,15,10,4
27,51,9,2
28,10,12,8
29,40,7,2
30,29,12,11
31,24,13,4
32,33,4,9
33,11,5,8
34,35,1,9
35,33,15,11
36,40,6,2
37,24,7,4
38,40,10,2
39,43,7,2
40,19,12,4
41,22,4,4
42,11,14,8
43,48,2,2
44,24,15,11
45,30,13,11
46,36,6,9
47,26,15,11
48,41,13,2
49,20,3,4
50,45,8,2
51,14,13,4
52,48,12,2
53,43,10,2
54,24,8,4
55,50,9,2
56,45,2,2
57,17,15,4
58,30,12,11
59,43,11,2
60,74,8,6
61,48,11,2
62,69,11,6
63,83,6,7
64,39,10,2
65,68,15,3
66,35,4,9
67,23,11,4
68,37,7,9
69,76,25,1
70,96,22,10
71,8,5,8
72,41,6,2
73,21,7,4
74,29,11,11
75,52,11,2
76,11,6,8
77,27,12,11
78,24,9,4
79,71,4,6
80,95,16,10
81,75,10,6
82,1,4,8
83,38,25,11
84,36,4,9
85,54,24,5
86,45,15,2
87,87,19,10
88,61,24,5
89,82,25,1
90,80,23,1
91,77,23,1
92,60,20,5
93,86,22,10
94,84,24,10
95,87,22,10
96,79,22,1
97,61,26,5
98,64,26,5
99,62,21,5
100,91,22,10
101,85,24,10
102,63,23,5
103,93,25,10
104,78,19,1
105,80,19,1
106,60,21,5
107,62,20,5
108,84,23,10
109,62,24,5
110,88,22,10
111,60,19,5
112,70,18,3
113,70,21,3
114,63,22,5
115,72,20,3
116,73,22,3
117,66,26,5
118,83,20,1
119,81,26,1
120,86,26,10
121,76,23,1
122,74,20,3
123,79,18,1
124,88,26,10
125,78,24,1
126,73,18,3
127,83,1,7
128,86,4,7
129,93,5,7
130,94,3,7
131,92,6,7
132,86,3,7
133,91,3,7
134,94,2,7
135,89,4,7
136,90,6,7
137,85,3,7
138,22,10,4
139,15,11,4
140,16,13,4
141,21,10,4
142,24,11,4
143,14,12,4
144,22,13,4
145,23,10,4
146,16,10,4
147,20,13,4
